会う,あう
大切,たいせつ,たいせち,おおぎり
大好き,だいすき
台所,だいどころ,だいどこ
高い,たかい,たかーい,たっけー,たっかーい
出す,だす
立つ,たつ
建物,たてもの
頼む,たのむ
楽しい,たのしい
食べる,たべる
食べ物,たべもの
卵,たまご,かい,かいご,らん
誰,だれ,だあれ,だーれ
誕生日,たんじょうび
小さい,ちいさい
小さな,ちいさな
近い,ちかい
違う,ちがう,たがう
近く,ちかく
地下鉄,ちかてつ
地図,ちず
茶色,ちゃいろ
使う,つかう
疲れる,つかれる
次,つぎ,じ
着く,つく,はく
机,つくえ,つき
作る,つくる
勤める,つとめる
冷たい,つめたい,つべたい
強い,つよい,こわい
手,て
出かける,でかける
手紙,てがみ
出口,でぐち
出る,でる
天気,てんき
電気,でんき
電車,でんしゃ
電話,でんわ
戸,と,こ
動物,どうぶつ
遠い,とおい
十日,とおか
時々,ときどき
時計,とけい
所,ところ,とこ,しょ
年,とし,ねん,とせ
図書館,としょかん,ずしょかん
隣,となり
飛ぶ,とぶ
止まる,とまる,とどまる,やまる
友達,ともだち,トモダチ
土曜日,どようび
鳥,とり,トリ
とり肉,とりにく,けいにく,ちょうにく
取る,とる
撮る,とる
中,なか,うち,ちゅう,じゅう,ぢゅう,チュン
長い,ながい,ながーい,なっがい,なげー
鳴く,なく
無くす,なくす
夏,なつ,か,げ
夏休み,なつやすみ
七つ,ななつ
七日,なのか,なぬか
名前,なまえ
習う,ならう
並ぶ,ならぶ
並べる,ならべる
何,なに,ナニ,なん
二,に,ふた,ふ,ふう,アル,アール,アー,リャン
賑やか,にぎやか
肉,にく,しし
西,にし,せい,シャー
日曜日,にちようび
荷物,にもつ
庭,にわ
脱ぐ,ぬぐ
温い,ぬるい,ぬくい
猫,ねこ,ネコ,ねこま
寝る,ねる
登る,のぼる
飲み物,のみもの
飲む,のむ
乗る,のる,ノる
歯,は,よわい,し
灰皿,はいざら
入る,いる,はいる
葉書,はがき,ハガキ
箱,はこ,ハコ
橋,はし,きょう
始まる,はじまる
初め,はじめ,ぞめ
始め,はじめ
初めて,はじめて
走る,はしる
二十歳,はたち,にじゅっさい,にじっさい,はたとせ
働く,はたらく
八,はち,や,パー
二十日,はつか,にじゅうにち
花,はな
鼻,はな
話,はなし,わ
話す,はなす
早い,はやい,はえー,はっやい,はっやーい,はやーい
速い,はやい,はえー,はっやい,はっやーい,はやーい
春,はる
貼る,はる
晴れ,はれ
晴れる,はれる
半,はん
晩,ばん
番号,ばんごう
晩御飯,ばんごはん
半分,はんぶん,はんぷん
東,あずま,あづま,ひがし,ひむかし,ひんがし,トン,とう
引く,ひく
弾く,はじく,ひく
低い,ひくい,ひっくい
飛行機,ひこうき
左,ひだり,さ
人,じん,と,ひと,ヒト,にん
一つ,ひとつ
一月,いちがつ,ひとつき,いちげつ
一人,ひとり,いちにん
暇,ひま,ヒマ,いとま
百,ひゃく,はく,もも
病院,びょういん
病気,びょうき,ビョーキ,やまいけ
昼,ひる
昼御飯,ひるごはん
広い,ひろい
封筒,ふうとう
吹く,ふく
服,ふく,ぶく
二つ,ふたつ
豚肉,ぶたにく,とんにく
二人,ふたり,ににん
二日,ふつか
太い,ふとい
冬,ふゆ
降る,くだる,ふる
古い,ふるい
文章,ぶんしょう,もんじょう,もんぞう
下手,したて,したで,しもて,へた,ヘタ
部屋,へや
辺,へん,へ,ほとり,わたり
勉強,べんきょう
便利,べんり
帽子,ぼうし
欲しい,ほしい
細い,ほそい,こまい
本,もと,ほん
本棚,ほんだな
毎朝,まいあさ,まいちょう
毎月,まいつき,まいげつ
毎週,まいしゅう
毎日,まいにち
毎年,まいとし,まいねん
毎晩,まいばん
前,さき,ぜん,まえ
曲る,まがる
町,まち,ちょう
待つ,まつ
窓,まど
丸い,まるい,まろい
円い,まるい,まろい
万,ばん,まん,よろず
万年筆,まんねんひつ,まんねんぴつ,まんねんふで
磨く,みがく
右,みぎ
短い,みじかい,みじけー
水,みず,すい
店,みせ,てん,たな
見せる,みせる
道,みち,どう,ち,ぢ
三日,みっか
三つ,みっつ,みつ
緑,みどり
皆さん,みなさん
南,みなみ,ナン,みんなみ,なん
耳,みみ
見る,みる
観る,みる
六日,むいか,むゆか,むよか
向こう,むこう
難しい,むずかしい,むつかしい,むづかしい
六つ,むっつ,むつ
村,むら,そん
目,め,もく
眼鏡,メガネ,めがね,がんきょう
もう一度,もういちど
木曜日,もくようび
持つ,もつ
物,もの,もん,モノ,ぶつ,ブツ
門,と,もん,かど
問題,もんだい
八百屋,やおや
野菜,やさい
易しい,やさしい
安い,やすい
休み,やすみ
休む,やすむ
八つ,やっつ,やつ
山,やま,ヤマ,さん,ざん,むれ
夕方,ゆうがた
夕飯,ゆうはん,ゆうめし
郵便局,ゆうびんきょく
昨夜,ゆうべ,ゆんべ,よべ,さくや
有名,ゆうめい
雪,ゆき
八日,ようか
洋服,ようふく
横,よこ,ヨコ
四日,よっか
四つ,よっつ,よつ
呼ぶ,よぶ
読む,よむ
夜,よる,よ,や
弱い,よわい
来月,らいげつ
来週,らいしゅう
来年,らいねん
留学生,りゅうがくせい
両親,りょうしん,ふたおや
料理,りょうり
旅行,りょこう
零,れい,ゼロ
冷蔵庫,れいぞうこ
練習,れんしゅう
廊下,ろうか
六,ろく,む,むう,リュー,リィウ,リウ
若い,わかい
分かる,わかる
忘れる,わすれる
私,わたし,ワタシ,あたし,あたくし,アタシ,わらわ,わし,ワシ,あっし,わっし,わい,ワイ,わたい,し,わたくし,わっち,わて,あたい,あて,わちき
渡す,わたす
渡る,わたる
悪い,わるい,にくい,ニクい
