現金,げんきん
言語,げんご,ごんご,げんきょ
健康,けんこう
検査,けんさ
現在,げんざい
現実,げんじつ
現象,げんしょう
現状,げんじょう
建設,けんせつ
現代,げんだい,ヒュンダイ
建築,けんちく
見当,けんとう
検討,けんとう
現場,げんば,げんじょう
憲法,けんぽう,けんぼう
権利,けんり
語,ご,かたり
恋,こい
濃い,こい
恋人,こいびと
幸運,こううん
講演,こうえん
効果,こうか
硬貨,こうか
高価,こうか
豪華,ごうか
合格,ごうかく
交換,こうかん
航空,こうくう
光景,こうけい
合計,ごうけい
攻撃,こうげき
貢献,こうけん
広告,こうこく
交際,こうさい
後者,こうしゃ
工場,こうじょう,こうば
構成,こうせい
高速,こうそく
行動,こうどう
強盗,ごうとう
幸福,こうふく
公平,きんぴら,キンピラ,こうへい
候補,こうほ
考慮,こうりょ
越える,こえる
氷,こおり,ひ,つらら,ひょうちゅう
凍る,こおる
誤解,ごかい
語学,ごがく
呼吸,こきゅう
故郷,ふるさと,こきょう
極,ごく,きょく,はたて
国語,こくご
黒板,こくばん
克服,こくふく
国民,こくみん,くにたみ
穀物,こくもつ
腰,こし,コシ,ごし,よう
故障,こしょう
個人,こじん
越す,こす
国家,こっか
国会,こっかい
国境,こっきょう,くにざかい
骨折,こっせつ
小包,こづつみ
事,こと,じ,ごと
異なる,ことなる
諺,ことわざ
断る,ことわる
粉,こな,こ,デシメートル
好み,このみ,よしみ,ぎ,よしび,ごのみ
好む,このむ
塵,ゴミ,ごみ,ちり,じん
小麦,こむぎ
小屋,こや,しょうおく
頃,ころ,ごろ,けい,ころおい
殺す,ころす
転ぶ,ころぶ,まろぶ
今回,こんかい
今後,こんご
混雑,こんざつ
困難,こんなん
今日,きょう,こんにち,こんち,こんじつ
婚約,こんやく
混乱,こんらん
差,さ,さし,サシ
際,きわ,ぎわ,さい
最高,さいこう,サイコー
財産,ざいさん
最終,さいしゅう
最中,さいちゅう,さなか,もなか
最低,さいてい,サイテー
才能,さいのう
裁判,さいばん
材料,ざいりょう
幸い,さいわい
境,さかい,きょう
逆らう,さからう
盛り,さかり,もり
作業,さぎょう
昨,さく
